Collocations analysis for "Manuskrypt Wojnicza" by Unknown

 occurs in 190 collocations
DG8ANG occurs in 1 collocations
TCDE occurs in 1 collocations
OEHAE occurs in 2 collocations
OEDOR occurs in 2 collocations
4OHOCC2 occurs in 1 collocations
HOETC8G occurs in 1 collocations
ODCCO8AM occurs in 1 collocations
SCAE occurs in 14 collocations
AEA(M|N) occurs in 2 collocations
TC8G occurs in 282 collocations
DS8G occurs in 6 collocations
OHORSCCG occurs in 1 collocations
AROE occurs in 12 collocations
HFZG occurs in 1 collocations
SOEFAM occurs in 1 collocations
OEAK occurs in 5 collocations
OHCG2 occurs in 1 collocations
(D|H)CG occurs in 1 collocations
RAET(2|R) occurs in 1 collocations
8GDTG occurs in 1 collocations
2AIE occurs in 1 collocations
2AMTOR occurs in 1 collocations
4O8A8G occurs in 1 collocations
4OPTC88G occurs in 1 collocations
OCCC2 occurs in 5 collocations
8CCG occurs in 6 collocations
TOPZG occurs in 3 collocations
PZCC8OE occurs in 1 collocations
THTCG occurs in 1 collocations
ODTAL occurs in 1 collocations
S8AEO occurs in 1 collocations
4OHT8AE occurs in 1 collocations
4ODZCOE occurs in 2 collocations
ODTOR occurs in 13 collocations
4CC8CCG occurs in 1 collocations
OCDCG occurs in 1 collocations
OD(A|O)E occurs in 2 collocations
8OTO8 occurs in 1 collocations
4O8ARG occurs in 1 collocations
RAKSG occurs in 1 collocations
PAEAR occurs in 1 collocations
DTCOR occurs in 4 collocations
CCO8G occurs in 1 collocations
4OPTCCG occurs in 4 collocations
8TCCOG occurs in 1 collocations
TOHZCG occurs in 4 collocations
PA(II|N)R occurs in 1 collocations
ODON occurs in 1 collocations
D(T|C)8G occurs in 1 collocations
TCPAM occurs in 1 collocations
STO occurs in 1 collocations
TFZAE occurs in 1 collocations
4OCCOE occurs in 2 collocations
4CDAR occurs in 2 collocations
O8(CC|0)8G occurs in 1 collocations
PTC(|G)O(O|)R occurs in 1 collocations
4LDCCOE occurs in 1 collocations
TCHZAK occurs in 1 collocations
ANL occurs in 1 collocations
ODCGETG occurs in 1 collocations
8T2G occurs in 1 collocations
2AK occurs in 7 collocations
4OHC8 occurs in 2 collocations
8AEARG occurs in 1 collocations
ODCO8G occurs in 22 collocations
OEDCCO8G occurs in 5 collocations
OHZOE occurs in 1 collocations
GDCCO8AR occurs in 1 collocations
GODAM occurs in 1 collocations
8OHZO occurs in 1 collocations
4OHZCG occurs in 5 collocations
GDT occurs in 1 collocations
G8TO8GDZCG occurs in 1 collocations
OETCCOE occurs in 1 collocations
OHOAM occurs in 1 collocations
CCO2 occurs in 1 collocations
T8AEAE occurs in 1 collocations
8AAE occurs in 1 collocations
8CCAIIR occurs in 1 collocations
|)OPTOR occurs in 1 collocations
4CHAM occurs in 1 collocations
|)HAR occurs in 1 collocations
4OHOEAM occurs in 1 collocations
OHE occurs in 2 collocations
OHTAR occurs in 5 collocations
4OHCA(|G)E occurs in 1 collocations
TC8A(M|N) occurs in 2 collocations
8HOR occurs in 1 collocations
4ODTCCG occurs in 1 collocations
OCDCC8G occurs in 1 collocations
8DG occurs in 1 collocations
RAE(|T)G(G|) occurs in 1 collocations
8CCC8G occurs in 2 collocations
TO(H|P)ZCO8 occurs in 1 collocations
8AMRTG occurs in 1 collocations
RSC8G occurs in 6 collocations
8AIR occurs in 80 collocations
8EO2 occurs in 1 collocations
SA occurs in 3 collocations
OHTAK occurs in 6 collocations
4ODOTG occurs in 1 collocations
OHARGEG occurs in 1 collocations
OHARAM occurs in 3 collocations
GDCOE occurs in 10 collocations
GTCAM occurs in 2 collocations
RTCG occurs in 10 collocations
T8G occurs in 113 collocations
4ODCCO( occurs in 3 collocations
OHARO8G occurs in 1 collocations
GHSCO8 occurs in 1 collocations
DTCCOR occurs in 1 collocations
TCDZC8G occurs in 1 collocations
DCCO8AR occurs in 1 collocations
O8AE8G occurs in 1 collocations
CTO8G occurs in 1 collocations
HTOR occurs in 21 collocations
OPSCG occurs in 1 collocations
2OHTG occurs in 1 collocations
)ETCC8G occurs in 1 collocations
OEPTC28 occurs in 1 collocations
OHTODG occurs in 1 collocations
ECCC2AM occurs in 1 collocations
ARN occurs in 1 collocations
DO88G occurs in 1 collocations
FA8AM occurs in 1 collocations
EDCO occurs in 4 collocations
)ADAE occurs in 1 collocations
OEAM occurs in 50 collocations
ARARAE occurs in 2 collocations
4ODO8 occurs in 7 collocations
OE8AK occurs in 5 collocations
|)OD(T|CC)G occurs in 1 collocations
SAN occurs in 4 collocations
GHCAN occurs in 1 collocations
O(D|H)AK occurs in 1 collocations
TGDCC8G occurs in 1 collocations
4ODARG occurs in 1 collocations
S(O|)2 occurs in 1 collocations
4ODOCCG occurs in 1 collocations
HARO2 occurs in 1 collocations
PTCOEG occurs in 1 collocations
OE4O occurs in 1 collocations
4O8AE occurs in 7 collocations
HO(H|D)ZG occurs in 1 collocations
2GDSC8G occurs in 1 collocations
8OETCG occurs in 3 collocations
GDADAM occurs in 1 collocations
S(C|0)G occurs in 1 collocations
SCSG occurs in 1 collocations
ORAIRO8G occurs in 1 collocations
DSCCOE occurs in 2 collocations
CCO2CCO occurs in 1 collocations
2SC8G occurs in 6 collocations
ANTG occurs in 1 collocations
2OR occurs in 40 collocations
GDTOEG occurs in 1 collocations
GOHC8G occurs in 1 collocations
4TO8AE occurs in 1 collocations
OP occurs in 2 collocations
SE occurs in 3 collocations
TODC2CG occurs in 1 collocations
EDC8G occurs in 24 collocations
(T|S)CC occurs in 1 collocations
EHAR occurs in 1 collocations
GHTCG occurs in 7 collocations
GHTCCAR occurs in 1 collocations
ODCSC8G occurs in 1 collocations
TCOE2 occurs in 1 collocations
4OHTAN occurs in 1 collocations
8ADZGDG occurs in 1 collocations
DSCA occurs in 1 collocations
IM occurs in 1 collocations
FTCC occurs in 1 collocations
8GFT8G occurs in 1 collocations
DAE occurs in 36 collocations
4OSCDZ(C|)G occurs in 1 collocations
TOL occurs in 1 collocations
ODTOP occurs in 1 collocations
SCCAM occurs in 1 collocations
OEPSC8G occurs in 1 collocations
TDAI8 occurs in 1 collocations
4OC8G occurs in 4 collocations
8ARTCC8AE occurs in 1 collocations
TARAM occurs in 5 collocations
TCCDAM occurs in 2 collocations
2OAM occurs in 2 collocations
4O2A(M|N) occurs in 1 collocations
2TOE occurs in 5 collocations
HTO8AIR( occurs in 1 collocations
DCO8DG occurs in 1 collocations
TDZG8 occurs in 1 collocations
GDAIR occurs in 5 collocations
GDCCO2 occurs in 1 collocations
|)TCO occurs in 1 collocations
OHAPZG occurs in 1 collocations
GDS occurs in 1 collocations
4ODAR occurs in 96 collocations
HTO0 occurs in 1 collocations
FZOAM occurs in 1 collocations
8OTCC2K occurs in 1 collocations
TCD|)Z(G occurs in 1 collocations
P(A|O)EG occurs in 1 collocations
EHSOEG occurs in 1 collocations
P8N occurs in 1 collocations
HCCOR occurs in 1 collocations
GTO8G occurs in 2 collocations
OEHSCG occurs in 2 collocations
TCCD8AK occurs in 1 collocations
SOEOR occurs in 1 collocations
8AIE occurs in 1 collocations
8TAR occurs in 4 collocations
ROETC8G occurs in 1 collocations
08G occurs in 1 collocations
EPGTOE occurs in 1 collocations
THOE occurs in 6 collocations
PZTAR occurs in 1 collocations
2G(P|F)TCG occurs in 1 collocations
PAM occurs in 8 collocations
PO8AIR occurs in 2 collocations
4OFTO occurs in 1 collocations
4OAE occurs in 5 collocations
8HCO8AM occurs in 1 collocations
POSC(O|A)R occurs in 1 collocations
4OP8AE occurs in 1 collocations
(O|4)HAK occurs in 1 collocations
GHAIR occurs in 3 collocations
AEDCO8G occurs in 1 collocations
8CC8G occurs in 3 collocations
4OHAIIR occurs in 1 collocations
GFO8AN occurs in 1 collocations
PTOFG occurs in 1 collocations
PTAM occurs in 1 collocations
DZCO8G occurs in 4 collocations
TCOP occurs in 2 collocations
ODTCCO occurs in 1 collocations
OEOEDCCG occurs in 1 collocations
GDT8G occurs in 6 collocations
TCCAR occurs in 1 collocations
TOHAN occurs in 1 collocations
4ODCCC8G occurs in 4 collocations
SCHCAE occurs in 1 collocations
RAEDG occurs in 1 collocations
S(C|)DZG occurs in 1 collocations
OROAM occurs in 1 collocations
SHOR occurs in 1 collocations
4OGDCCG occurs in 1 collocations
GDCCO(|2) occurs in 1 collocations
4OHZ occurs in 1 collocations
GDC8A occurs in 1 collocations
TO8AM8G occurs in 1 collocations
DCC8 occurs in 2 collocations
GE occurs in 1 collocations
SGSOE occurs in 1 collocations
OETCG occurs in 28 collocations
ODZCG occurs in 6 collocations
ODCG occurs in 46 collocations
OCDAM occurs in 1 collocations
GSCCO8G occurs in 1 collocations
POETC8G occurs in 7 collocations
OHAEG occurs in 7 collocations
POEAR occurs in 2 collocations
ODORAM occurs in 2 collocations
THZAR occurs in 1 collocations
4OHAE8G occurs in 1 collocations
DSCO8G occurs in 4 collocations
GHAMK occurs in 1 collocations
TCO8AEOE occurs in 1 collocations
ESCG occurs in 17 collocations
AEHC8G occurs in 1 collocations
GHTO occurs in 1 collocations
T(A|O)E occurs in 1 collocations
T(P occurs in 1 collocations
8AROR occurs in 3 collocations
4O0C8G occurs in 1 collocations
HCC2O8G occurs in 1 collocations
)DA(M|N) occurs in 1 collocations
8(O|A)EG occurs in 1 collocations
TDZAM occurs in 3 collocations
(S|2C)DZ(|T)G occurs in 1 collocations
4DCCO8G occurs in 1 collocations
2TO8AN occurs in 1 collocations
2TAN occurs in 1 collocations
4O8T8G occurs in 1 collocations
ODO2 occurs in 1 collocations
GHCOE occurs in 6 collocations
8OEO8G occurs in 1 collocations
HAIPAR occurs in 1 collocations
4O(D|H)AIR(G|) occurs in 1 collocations
T|)C(DC|)8( occurs in 1 collocations
2ORAR occurs in 1 collocations
8AE(G|A) occurs in 1 collocations
TOHAK occurs in 4 collocations
HOEDT8G occurs in 1 collocations
ODO8AM occurs in 1 collocations
8CHZ8G occurs in 1 collocations
(2 occurs in 1 collocations
OFOEG occurs in 1 collocations
DG8AN occurs in 1 collocations
PTO( occurs in 1 collocations
GPT2C82 occurs in 1 collocations
M occurs in 28 collocations
ODAIRG occurs in 1 collocations
4O4ODCCG occurs in 1 collocations
TC7AR occurs in 1 collocations
TCOOR occurs in 1 collocations
HTORG occurs in 1 collocations
2SR occurs in 1 collocations
ED(|C)CC8G occurs in 1 collocations
TOPT8G occurs in 1 collocations
ODS8 occurs in 1 collocations
TAR(| occurs in 1 collocations
)DC8G occurs in 1 collocations
(S|2C)G occurs in 1 collocations
2ARAR occurs in 3 collocations
TC8A occurs in 2 collocations
GOR occurs in 2 collocations
SO8AL occurs in 1 collocations
ODCC8 occurs in 3 collocations
ODSOE occurs in 1 collocations
TCARAK occurs in 1 collocations
4OHZAM occurs in 1 collocations
2OEOR occurs in 1 collocations
TODZC8G occurs in 1 collocations
SO8AN occurs in 1 collocations
TOHO occurs in 2 collocations
2ARO occurs in 1 collocations
GDCCGDG occurs in 1 collocations
O8AIK occurs in 1 collocations
8TAIRAK occurs in 1 collocations
R0AE occurs in 1 collocations
OGDCCG occurs in 2 collocations
4OHCCC8G occurs in 2 collocations
HZAR occurs in 15 collocations
OGHOR occurs in 1 collocations
DZCAR occurs in 1 collocations
THG occurs in 11 collocations
TCH occurs in 2 collocations
ETCDZCG occurs in 1 collocations
APORAIR occurs in 1 collocations
SCOHZG occurs in 3 collocations
4OHCC2 occurs in 3 collocations
HZCO2 occurs in 2 collocations
TOIC2 occurs in 1 collocations
ODG8 occurs in 1 collocations
EDCTC8G occurs in 3 collocations
AEDAM occurs in 8 collocations
POETC8 occurs in 2 collocations
HSO8AIR occurs in 1 collocations
TODCC2G occurs in 1 collocations
ODTG8G occurs in 1 collocations
OHTCCG occurs in 4 collocations
ODCC8ADG occurs in 1 collocations
PZOHZG occurs in 1 collocations
GHAE occurs in 12 collocations
HTO8AM occurs in 3 collocations
O8AEAEG occurs in 1 collocations
4OCTCG occurs in 1 collocations
8TOK occurs in 1 collocations
RTAR occurs in 1 collocations
OTHG occurs in 1 collocations
GHCCO8G occurs in 7 collocations
HSO occurs in 5 collocations
GDANDAR occurs in 1 collocations
4OHT8G occurs in 18 collocations
DTCOCG occurs in 1 collocations
EOAR occurs in 1 collocations
SCAG occurs in 1 collocations
TO8 occurs in 9 collocations
TCODA(M|N) occurs in 1 collocations
D2AK occurs in 1 collocations
4OC8CCG occurs in 1 collocations
AETC8G occurs in 2 collocations
SO8OE occurs in 3 collocations
HZO8G2 occurs in 1 collocations
EE2AM occurs in 1 collocations
TDOE8G occurs in 2 collocations
4ODCCC occurs in 1 collocations
4OH0 occurs in 1 collocations
HOTCO occurs in 1 collocations
4O occurs in 19 collocations
2OHTAM occurs in 1 collocations
GDO8AR occurs in 2 collocations
DOAM occurs in 1 collocations
GPT8AM occurs in 1 collocations
O2AE occurs in 4 collocations
GSCG occurs in 16 collocations
RHAM occurs in 1 collocations
4O(I|)M occurs in 1 collocations
4ODTO8G occurs in 3 collocations
O2TOHSE occurs in 1 collocations
4OHG occurs in 72 collocations
OFA8AM occurs in 1 collocations
4CCAR occurs in 1 collocations
8E2SO occurs in 1 collocations
EAE occurs in 5 collocations
4OD(RA|)0(|00) occurs in 1 collocations
4OHCOAR occurs in 1 collocations
4PZC8G occurs in 1 collocations
OEPODZG occurs in 1 collocations
OETAK occurs in 1 collocations
GTC8AR occurs in 3 collocations
FTCO8G occurs in 2 collocations
8EG occurs in 1 collocations
)TCG occurs in 1 collocations
HOETOR occurs in 1 collocations
TOEDAM occurs in 1 collocations
OFAIR occurs in 1 collocations
GOM occurs in 1 collocations
OHCCG8 occurs in 1 collocations
OEPTC8G occurs in 4 collocations
ETCT8G occurs in 1 collocations
G8OR occurs in 1 collocations
ODG occurs in 72 collocations
ODCC2AR occurs in 1 collocations
4ODCGE occurs in 1 collocations
4ODCCTAK occurs in 1 collocations
TDZ(|O)C(|DCDZC)2SG occurs in 1 collocations
SCAE2 occurs in 1 collocations
EFAR occurs in 1 collocations
HCC8 occurs in 2 collocations
4OCDTAR occurs in 1 collocations
2T8G occurs in 3 collocations
OPOEDCOR occurs in 1 collocations
TCDCJR occurs in 1 collocations
OEDCC2 occurs in 3 collocations
SCO2AM occurs in 1 collocations
RORAE occurs in 1 collocations
TDZAN occurs in 1 collocations
TODOE8G occurs in 1 collocations
4OH(A|O)R occurs in 2 collocations
GDC8G8G occurs in 1 collocations
8AMG occurs in 3 collocations
8SCOK occurs in 1 collocations
4ODC2 occurs in 1 collocations
O4OHAEHAEG occurs in 1 collocations
4OCAR occurs in 1 collocations
TODO8G occurs in 3 collocations
2SG occurs in 1 collocations
TO2AE2 occurs in 1 collocations
RTCDG occurs in 2 collocations
4ODA(M|N) occurs in 25 collocations
4OTAM occurs in 1 collocations
4ODTG occurs in 66 collocations
HCGHCK occurs in 1 collocations
DCCCO8G occurs in 1 collocations
PTC8A(M|N) occurs in 1 collocations
4ODTO8 occurs in 5 collocations
D8TO8G occurs in 1 collocations
OE8AN occurs in 1 collocations
SCCDCCG occurs in 1 collocations
2ODTOR occurs in 1 collocations
SCC8AR occurs in 1 collocations
8TAK occurs in 1 collocations
GODG occurs in 1 collocations
4ODOR occurs in 28 collocations
PTCOG occurs in 1 collocations
OCCCL occurs in 1 collocations
4ODCCOR occurs in 7 collocations
TOHAE2 occurs in 1 collocations
HAIDG occurs in 1 collocations
O8TC8G occurs in 1 collocations
|)OEG occurs in 1 collocations
ODTC8AK occurs in 2 collocations
DTAE8G occurs in 1 collocations
4GDAM occurs in 1 collocations
|)DCOE occurs in 1 collocations
DCCC8 occurs in 2 collocations
4OHOE8G occurs in 1 collocations
SCCDTG occurs in 3 collocations
4ODC8C occurs in 1 collocations
AOE occurs in 1 collocations
EAN2 occurs in 1 collocations
4OFT8AR occurs in 1 collocations
TARAK occurs in 2 collocations
|RI)8AM occurs in 1 collocations
4OPTOE occurs in 6 collocations
TCOEAR occurs in 1 collocations
4OEAN occurs in 3 collocations
DTOR occurs in 20 collocations
OFZ8G occurs in 1 collocations
PSOE occurs in 4 collocations
ODCOR occurs in 15 collocations
OFTC8AE occurs in 1 collocations
OEHCCTCG occurs in 1 collocations
OHCTG2 occurs in 1 collocations
PO8AM occurs in 5 collocations
PARAIR occurs in 1 collocations
SCDSG occurs in 1 collocations
TC8AK occurs in 5 collocations
TCCL occurs in 2 collocations
ODTPZG occurs in 1 collocations
8ANO8 occurs in 1 collocations
DZCDZG occurs in 1 collocations
PAES2AR occurs in 1 collocations
TCPTG occurs in 3 collocations
OYOR occurs in 1 collocations
TG4OE8G occurs in 1 collocations
D000 occurs in 1 collocations
PZ occurs in 1 collocations
FTO8AM occurs in 1 collocations
HCO2 occurs in 1 collocations
FTAM occurs in 1 collocations
SC8A(M|N) occurs in 2 collocations
8CC8AR occurs in 1 collocations
4OECCTC8G occurs in 1 collocations
AEOEOR occurs in 1 collocations
HODAR occurs in 1 collocations
OPTCC2 occurs in 1 collocations
8AI occurs in 2 collocations
OSAM occurs in 1 collocations
H(O|A)DAR occurs in 1 collocations
GHZA8AM occurs in 1 collocations
4OCCCG occurs in 5 collocations
8O8G8 occurs in 1 collocations
8AGHG occurs in 1 collocations
8AMR occurs in 1 collocations
DZOE occurs in 19 collocations
OEORAM occurs in 2 collocations
GTC8 occurs in 2 collocations
HC8G occurs in 42 collocations
HSOM occurs in 1 collocations
TOROK occurs in 1 collocations
8SO8AE occurs in 1 collocations
4OE occurs in 84 collocations
HC8 occurs in 2 collocations
EDSCCG occurs in 1 collocations
TOCDG occurs in 1 collocations
AR(OM|) occurs in 1 collocations
O8CTG occurs in 1 collocations
TO8AE occurs in 6 collocations
THZ8 occurs in 1 collocations
TDZAEG occurs in 1 collocations
OEDCCGSCOE occurs in 1 collocations
4OHCO2 occurs in 1 collocations
O(|G) occurs in 1 collocations
8TO2 occurs in 3 collocations
ADIROE0G occurs in 1 collocations
GDCSG occurs in 2 collocations
4ODCOTG occurs in 2 collocations
8T8(G|A{?})E8G occurs in 1 collocations
EDAM occurs in 60 collocations
H(G occurs in 1 collocations
GTOHZG occurs in 2 collocations
THZOE occurs in 1 collocations
8TCOCM occurs in 1 collocations
8AEGR8 occurs in 1 collocations
T8OEG occurs in 1 collocations
8AN8 occurs in 1 collocations
GHOE8G occurs in 3 collocations
OPAIE occurs in 1 collocations
SCFT8G occurs in 2 collocations
SAE occurs in 19 collocations
ODAEOR occurs in 3 collocations
THZO8G occurs in 3 collocations
2(O|A)8AR occurs in 1 collocations
OET8AR occurs in 1 collocations
4OHTC)(|OE) occurs in 1 collocations
DZO2 occurs in 3 collocations
SODZO occurs in 1 collocations
GFT8G occurs in 1 collocations
OHEOE occurs in 1 collocations
HSCO8E occurs in 1 collocations
2AEAR occurs in 2 collocations
4OHOEG occurs in 1 collocations
OD(A|CC)8G occurs in 1 collocations
4OPTCO8G occurs in 2 collocations
SSG occurs in 1 collocations
|)8AIR occurs in 2 collocations
ODCC8G occurs in 84 collocations
TCC8AM occurs in 4 collocations
TODCCO8G occurs in 1 collocations
0OEODCC8G occurs in 1 collocations
OHCCCL occurs in 1 collocations
OHOR occurs in 28 collocations
TODTCG occurs in 3 collocations
OHOG8G occurs in 1 collocations
THAN occurs in 1 collocations
8ARARG occurs in 1 collocations
(4ODCC8G occurs in 1 collocations
4CHG occurs in 1 collocations
HSO8 occurs in 2 collocations
OETC8AR occurs in 2 collocations
RTCC occurs in 1 collocations
RTC8G occurs in 12 collocations
SC(|C)D(T|CC)G occurs in 1 collocations
DCODG occurs in 1 collocations
HTHO8 occurs in 1 collocations
4ODCS2 occurs in 1 collocations
DC8 occurs in 2 collocations
SHG occurs in 4 collocations
DO2AR occurs in 1 collocations
GHA8G occurs in 1 collocations
EDAR occurs in 25 collocations
4DZAK occurs in 1 collocations
EOCC2 occurs in 1 collocations
TC8TG occurs in 1 collocations
EDAN occurs in 4 collocations
OECCAK occurs in 1 collocations
4OHO8G occurs in 10 collocations
PORAE occurs in 1 collocations
HT8OEH8G occurs in 1 collocations
TCDZAE occurs in 1 collocations
