N-grams analysis for "One hundred years of solitude" by Gabriel Garcia Marquez

2-GRAMs
--------
YEARS LATER: 2
of an: 43
an enormous: 7
When José: 4
Buendía and: 23
and the: 398
the four: 13
four men: 2
men of: 5
managed to: 26
to take: 53
take the: 11
the armor: 2
they found: 6
found inside: 3
inside a: 3
a copper: 4
a woman’s: 4
the gypsies: 21
gypsies returned.: 2
This time: 3
time they: 9
brought a: 9
telescope and: 2
a magnifying: 2
magnifying glass: 4
the size: 2
size of: 2
a drum: 2
which they: 19
as the: 71
the latest: 8
latest discovery: 2
discovery of: 8
placed a: 2
a gypsy: 2
gypsy woman: 4
at one: 13
one end: 2
end of: 30
and set: 6
up the: 62
the telescope: 2
at the: 263
the entrance: 6
entrance to: 5
to the: 450
the tent.: 3
For the: 8
the price: 5
price of: 6
of five: 3
five reales: 2
people could: 3
into the: 159
and see: 3
see the: 23
” Melquíades: 2
“In a: 2
a short: 21
short time: 32
will be: 13
be able: 8
able to: 46
see what: 6
what is: 2
happening in: 2
in any: 20
any place: 2
place in: 12
the world: 62
without leaving: 2
leaving his: 2
his own: 46
noonday sun: 2
brought out: 6
out a: 12
with the: 415
they put: 8
put a: 15
a pile: 3
pile of: 4
of dry: 2
the middle: 18
middle of: 18
the street: 43
street and: 9
set it: 2
it on: 19
the sun’s: 3
Buendía who: 15
who had: 147
had still: 5
still not: 7
not been: 23
the failure: 4
failure of: 6
conceived the: 7
the idea: 28
idea of: 16
of using: 2
that invention: 2
as a: 92
a weapon: 3
of war.: 3
tried to: 85
him but: 6
but he: 62
he finally: 7
finally accepted: 3
accepted the: 6
magnetized ingots: 2
and three: 5
colonial coins: 2
in exchange: 5
exchange for: 5
the magnifying: 2
Úrsula wept: 2
wept in: 4
in consternation.: 2
from a: 17
a chest: 3
chest of: 2
of gold: 6
gold coins: 4
coins that: 3
that her: 61
her father: 17
father had: 7
had put: 19
put together: 4
and that: 115
that she: 283
she had: 286
had buried: 3
underneath her: 3
her bed: 9
bed in: 4
in hopes: 2
hopes of: 2
a proper: 2
occasion to: 3
of it.: 6
made no: 3
to console: 2
absorbed in: 5
in his: 171
even at: 4
the risk: 3
risk of: 3
In an: 3
an attempt: 10
attempt to: 13
to show: 18
show the: 6
the glass: 5
glass on: 2
on enemy: 2
himself to: 11
sun’s rays: 2
which turned: 2
turned into: 12
that took: 3
took a: 14
time to: 58
Over the: 2
the protests: 2
protests of: 4
was alarmed: 2
alarmed at: 2
such a: 36
a dangerous: 2
he was: 236
was ready: 4
ready to: 21
to set: 15
set the: 2
house on: 4
He would: 25
would spend: 14
spend hours: 3
hours on: 6
on end: 5
end in: 3
his room: 10
possibilities of: 3
until he: 26
in putting: 3
putting together: 2
together a: 4
and an: 15
an irresistible: 7
power of: 3
He sent: 2
sent it: 2
it to: 29
the government: 28
accompanied by: 4
descriptions of: 2
his experiments: 3
and several: 5
several pages: 2
pages of: 3
by a: 64
a messenger: 3
messenger who: 3
crossed the: 10
the mountains: 12
lost in: 10
and was: 35
was on: 14
the point: 17
point of: 17
under the: 66
plague and: 4
he found: 39
found a: 16
a route: 2
route that: 3
that joined: 2
the one: 36
by the: 291
the mules: 2
mules that: 2
that carried: 2
carried the: 6
the mail.: 3
In spite: 19
spite of: 49
the fact: 36
fact that: 33
that a: 19
a trip: 4
trip to: 4
the capital: 9
less than: 12
impossible at: 2
time José: 2
promised to: 10
to undertake: 4
it as: 22
as soon: 14
soon as: 25
ordered him: 4
to so: 4
so that: 146
that he: 333
he could: 84
on some: 7
demonstrations of: 2
the military: 13
military authorities: 3
and could: 6
himself in: 10
art of: 8
several years: 5
years he: 4
he waited: 5
waited for: 14
for an: 18
tired of: 5
of waiting: 7
to Melquíades: 2
his project: 2
then gave: 3
gave him: 38
him a: 42
a convincing: 3
proof of: 10
he gave: 20
him back: 2
back the: 6
glass and: 6
and he: 209
he left: 23
left him: 9
him in: 69
in addition: 4
maps and: 3
instruments of: 2
In his: 6
he set: 7
set down: 2
down a: 4
synthesis of: 2
the studies: 2
which he: 59
left José: 2
Arcadio so: 3
he would: 144
the astrolabe: 2
spent the: 19
the long: 12
long months: 2
months of: 11
the rainy: 3
shut up: 12
up in: 63
in a: 260
a small: 25
small room: 4
room that: 8
he had: 338
had built: 7
built in: 5
the rear: 6
rear of: 2
house so: 4
that no: 35
no one: 84
one would: 8
disturb his: 3
abandoned his: 2
he spent: 9
nights in: 2
the courtyard: 51
watching the: 5
the course: 10
course of: 10
he almost: 3
to establish: 6
method to: 2
to ascertain: 3
When he: 37
he became: 10
became an: 2
an expert: 3
expert in: 3
the use: 8
use and: 2
manipulation of: 3
he conceived: 5
notion of: 4
that allowed: 3
allowed him: 6
to visit: 8
and to: 21
with splendid: 3
without having: 7
having to: 5
to leave: 21
That was: 39
the period: 4
in which: 44
acquired the: 5
the habit: 9
habit of: 16
of talking: 2
talking to: 4
to himself: 5
himself of: 2
of walking: 2
walking through: 2
through the: 117
house without: 5
without paying: 2
attention to: 18
to anyone: 3
as Úrsula: 4
Úrsula and: 19
the children: 33
the garden: 16
Suddenly without: 2
without warning: 2
his feverish: 2
was interrupted: 3
was replaced: 2
replaced by: 6
a kind: 19
kind of: 25
He spent: 7
spent several: 4
several days: 9
days as: 2
as if: 96
if he: 31
he were: 11
a string: 9
string of: 10
without giving: 4
to his: 66
in December: 2
at lunchtime: 2
all at: 3
at once: 6
once he: 3
released the: 2
the whole: 35
whole weight: 4
weight of: 17
The children: 6
children would: 4
would remember: 11
the rest: 29
rest of: 29
their lives: 5
solemnity with: 2
with which: 50
their father: 4
devastated by: 3
by his: 30
his prolonged: 5
and by: 10
the wrath: 2
wrath of: 2
his imagination: 5
revealed his: 4
to them:: 2
like an: 13
lost her: 12
“If you: 12
you have: 8
have to: 37
to go: 51
go crazy: 2
all by: 2
she shouted.: 6
“But don’t: 2
try to: 8
to put: 41
put your: 3
the heads: 3
heads of: 2
not let: 14
let himself: 10
himself be: 9
be frightened: 2
frightened by: 7
who in: 9
of rage: 3
against the: 33
the floor.: 7
built another: 2
another one: 6
one he: 7
he gathered: 3
the men: 12
village in: 2
his little: 4
room and: 16
to them: 17
them with: 26
that none: 3
none of: 7
of them: 48
could understand: 4
understand the: 8
the possibility: 10
possibility of: 14
of returning: 5
returning to: 2
to where: 3
where one: 4
one had: 24
had set: 10
set out: 2
out by: 12
The whole: 4
was convinced: 6
convinced that: 21
that José: 26
Buendía had: 34
had lost: 17
lost his: 13
when Melquíades: 4
returned to: 17
He gave: 7
a man: 43
man who: 32
who from: 2
had already: 23
already been: 6
in practice: 2
unknown in: 2
in Macondo: 51
Macondo until: 2
until then: 12
then and: 5
and as: 19
he made: 13
made him: 24
a gift: 3
that was: 140
to have: 47
a profound: 2
the future: 11
future of: 3
the laboratory: 10
an alchemist.: 2
Melquíades had: 8
had aged: 4
On his: 4
his first: 9
he seemed: 9
seemed to: 47
to be: 143
be the: 13
the same: 174
age as: 2
as José: 4
Arcadio Buendía.: 7
Buendía. But: 4
But while: 3
while the: 28
the latter: 17
latter had: 3
permitted him: 5
to pull: 4
pull down: 3
a horse: 7
have been: 51
by some: 4
It was: 168
was in: 44
in reality: 4
reality the: 5
the result: 5
result of: 3
on his: 90
trips around: 2
around the: 12
the world.: 13
According to: 4
to what: 20
said as: 4
he spoke: 8
spoke to: 12
to José: 15
followed him: 2
him everywhere: 2
the cuffs: 2
cuffs of: 2
pants but: 2
but never: 2
to give: 29
give him: 16
him the: 48
the final: 9
He was: 72
a fugitive: 2
from all: 10
all the: 45
had ever: 20
He had: 49
had survived: 3
plague in: 2
an earthquake: 3
said to: 33
the keys: 9
keys of: 2
of Nostradamus: 4
a gloomy: 4
enveloped in: 2
a sad: 6
look that: 5
that seemed: 16
to know: 13
know what: 9
the other: 72
other side: 10
side of: 16
of things.: 3
He wore: 2
wore a: 10
a large: 11
large black: 2
black hat: 2
hat that: 3
that looked: 4
looked like: 25
like a: 95
wings and: 2
a velvet: 3
velvet vest: 2
which the: 35
the centuries: 2
But in: 3
in spite: 30
his immense: 3
wisdom and: 4
and his: 71
his mysterious: 2
had a: 69
a human: 6
condition that: 6
kept him: 3
involved in: 4
the small: 20
of daily: 7
life. He: 4
would complain: 2
of old: 17
old age: 26
age he: 3
he suffered: 3
suffered from: 5
the most: 71
most insignificant: 2
difficulties and: 2
had stopped: 5
had made: 31
made his: 10
his teeth: 3
On that: 3
noontime when: 2
when the: 63
had the: 82
the certainty: 11
certainty that: 16
the beginning: 17
beginning of: 13
great friendship.: 2
friendship. The: 2
children were: 4
were startled: 4
startled by: 5
his fantastic: 2
Aureliano who: 8
who could: 16
could not: 105
not have: 47
been more: 2
more than: 49
than five: 3
the time: 65
time would: 3
remember him: 3
him for: 13
his life: 20
life as: 2
he saw: 37
saw him: 20
him that: 32
the metallic: 2
light from: 4
the window: 21
up with: 27
with his: 131
his deep: 2
the imagination: 2
down over: 2
over his: 17
temples there: 2
there flowed: 2
flowed the: 2
the grease: 2
grease that: 2
was being: 7
melted by: 2
his older: 2
would pass: 2
on that: 8
hereditary memory: 2
to all: 6
his descendants.: 2
Úrsula on: 6
other hand: 27
held a: 4
a bad: 7
memory of: 13
visit for: 2
for she: 6
had entered: 2
entered the: 10
the room: 54
room just: 2
just as: 23
“It’s the: 5
the smell: 15
smell of: 28
the devil: 8
” she: 139
she said.: 27
at all: 9
all ”: 2
has been: 3
that the: 278
and this: 7
this is: 3
just a: 3
a little: 25
he went: 50
went into: 33
into a: 69
but Úrsula: 2
paid no: 7
no attention: 7
to him: 63
although she: 6
she took: 11
took the: 26
off to: 9
would stay: 10
stay forever: 2
forever in: 2
in her: 118
her mind: 4
linked to: 2
the memory: 13
of Melquíades.: 2
addition to: 4
to a: 40
made up: 7
up of: 5
a primitive: 2
water pipe: 6
a glass: 6
thin neck: 2
neck a: 2
a reproduction: 2
reproduction of: 2
the philosopher’s: 7
philosopher’s egg: 2
still the: 2
in accordance: 3
accordance with: 5
the three: 13
Along with: 2
with those: 8
the seven: 5
that corresponded: 2
corresponded to: 3
the formulas: 2
the quantity: 2
quantity of: 2
gold and: 3
a set: 5
set of: 6
concerning the: 3
processes of: 2
that would: 33
would permit: 2
those who: 24
them to: 52
undertake the: 2
the manufacture: 3
manufacture of: 3
Buendía paid: 3
to Úrsula: 9
Úrsula for: 5
for several: 22
several weeks: 6
she would: 125
would let: 5
let him: 23
dig up: 2
up her: 6
coins and: 4
them by: 3
by as: 2
as many: 7
many times: 15
times as: 3
as it: 16
was possible: 5
Úrsula gave: 4
gave in: 4
as always: 5
always to: 2
to her: 100
her husband’s: 11
a pan: 2
with copper: 5
He put: 7
put it: 16
it all: 9
all to: 2
to boil: 4
boil in: 2
a pot: 6
pot of: 7
of castor: 3
castor oil: 2
he got: 6
got a: 3
a thick: 5
thick and: 2
which was: 46
was more: 21
more like: 8
mixed with: 3
and put: 29
back to: 50
for lack: 2
lack of: 13
of any: 16
inheritance was: 2
was reduced: 7
reduced to: 11
piece of: 19
was firmly: 3
stuck to: 4
the bottom: 12
bottom of: 12
the pot.: 2
When the: 23
came back: 12
Úrsula had: 39
had turned: 6
turned the: 10
village against: 2
them. But: 2
for that: 10
time the: 7
went about: 5
about the: 100
the town: 48
making a: 4
a deafening: 3
with all: 12
all manner: 10
manner of: 11
of musical: 2
musical instruments: 5
instruments while: 2
announced the: 6
the exhibition: 2
So that: 10
that everyone: 8
went to: 54
the tent: 3
tent and: 2
they saw: 11
saw a: 11
a new: 20
new and: 4
Those who: 8
who remembered: 4
remembered his: 2
been destroyed: 3
destroyed by: 6
trembled with: 4
with fear: 3
final proof: 2
power. The: 2
took out: 11
out his: 7
in their: 43
and showed: 4
showed them: 3
the audience: 2
instant in: 4
went back: 20
to being: 4
being the: 6
man of: 9
put them: 12
them back: 2
again and: 11
once more: 24
more with: 2
control of: 4
Even José: 2
Buendía himself: 2
considered that: 3
that Melquíades’: 4
had reached: 13
he felt: 29
felt a: 13
a healthy: 2
explained to: 10
his false: 4
It seemed: 3
seemed so: 12
so simple: 2
and so: 22
same time: 22
time that: 44
he lost: 11
lost all: 7
all interest: 3
interest in: 6
experiments in: 2
crisis of: 5
of bad: 4
He did: 34
not go: 4
go back: 7
to eating: 5
spend the: 5
the day: 37
the house.: 49
” he: 159
he said: 48
to Úrsula.: 4
across the: 10
the river: 16
all kinds: 10
kinds of: 9
keep on: 6
on living: 3
living like: 3
like donkeys.”: 2
had known: 10
known him: 2
him since: 5
since the: 29
the foundation: 2
of Macondo: 28
Macondo were: 3
startled at: 9
at how: 6
how much: 22
much he: 10
had changed: 7
At first: 24
first José: 2
been a: 20
who would: 23
would give: 8
instructions for: 3
of children: 3
children and: 12
animals and: 7
and who: 29
even in: 9
the physical: 2
Since his: 2
his house: 11
house from: 3
the very: 2
first had: 2
been the: 9
the best: 17
the others: 13
been built: 3
in its: 12
It had: 10
well lighted: 2
a dining: 2
dining room: 17
room in: 3
the shape: 9
shape of: 9
courtyard with: 5
a gigantic: 5
chestnut tree: 22
a well: 6
well kept: 2
garden and: 4
pigs and: 3
lived in: 11
in peaceful: 2
animals that: 2
that were: 43
not just: 4
house but: 9
but in: 10
the entire: 2
were fighting: 2
fighting cocks.: 2
capacity for: 4
for work: 3
work was: 3
same as: 12
as that: 6
that of: 38
of her: 245
her husband.: 5
Active small: 2
that woman: 3
woman of: 3
who at: 8
at no: 2
moment in: 3
her life: 12
life had: 3
been heard: 5
heard to: 4
to sing: 2
from dawn: 4
dawn until: 2
late at: 4
at night: 11
the soft: 3
her stiff: 2
stiff starched: 2
Thanks to: 2
her the: 35
earth the: 2
walls the: 4
the rustic: 2
were always: 6
the old: 24
they kept: 5
exhaled the: 2
the warm: 2
enterprising man: 2
ever to: 3
be seen: 10
seen in: 12
the houses: 8
houses in: 4
in such: 11
a way: 25
way that: 12
that from: 8
them one: 2
one could: 19
could reach: 2
reach the: 4
river and: 2
water with: 4
effort and: 2
lined up: 2
the streets: 19
streets with: 3
with such: 26
such good: 3
good sense: 2
sense that: 3
house got: 2
the hot: 10
time of: 23
of day.: 2
a few: 47
few years: 9
village that: 2
and hard: 4
hard working: 3
than any: 5
by its: 3
three hundred: 5
village where: 2
where no: 5
one was: 11
was over: 8
years of: 29
of age: 4
age and: 7
and where: 12
had died.: 3
Since the: 8
In a: 9
time he: 34
he filled: 2
not only: 55
only his: 3
own house: 2
but all: 7
of those: 25
those in: 2
village with: 2
concert of: 2
of so: 10
so many: 45
many different: 2
became so: 10
that Úrsula: 29
Úrsula would: 21
her ears: 7
ears with: 3
so as: 23
as not: 22
not to: 65
to lose: 8
lose her: 5
her sense: 3
sense of: 17
of reality.: 3
The first: 17
first time: 37
Melquíades’ tribe: 3
everyone was: 2
was surprised: 10
surprised that: 7
that they: 122
been able: 9
to find: 15
find that: 2
the drowsiness: 4
drowsiness of: 3
the swamp: 21
swamp and: 5
had found: 17
their way: 3
the birds.: 2
spirit of: 6
of social: 5
disappeared in: 2
away by: 6
the fever: 3
fever of: 4
calculations the: 2
the urge: 3
urge to: 4
discover the: 3
the wonders: 2
wonders of: 2
From a: 2
a clean: 5
clean and: 5
changed into: 10
lazy in: 2
his dress: 2
dress with: 4
a wild: 4
with great: 7
great effort: 5
a kitchen: 4
There were: 9
were many: 3
many who: 3
considered him: 3
the victim: 3
victim of: 3
of some: 10
But even: 3
even those: 2
convinced of: 3
his madness: 2
work and: 3
and family: 2
family to: 2
to follow: 4
follow him: 2
him when: 12
when he: 136
he brought: 5
to clear: 9
the land: 7
land and: 5
and asked: 10
asked the: 7
to open: 10
open a: 2
would put: 9
Macondo in: 9
contact with: 22
the great: 13
great inventions.: 3
was completely: 5
the geography: 2
geography of: 2
region. He: 2
He knew: 5
knew that: 19
that to: 5
the east: 3
an impenetrable: 2
chain and: 2
that on: 14
city of: 3
where in: 3
in times: 2
been told: 2
the first: 131
first Aureliano: 4
Francis Drake: 4
Drake had: 3
had gone: 27
to bring: 17
bring to: 2
his youth: 6
his men: 7
men with: 2
wives and: 3
and children: 4
and all: 19
of domestic: 2
had crossed: 3
mountains in: 2
in search: 11
search of: 12
the sea: 12
sea and: 2
and after: 7
after twenty: 3
six months: 8
months they: 3
they gave: 6
gave up: 8
the expedition: 2
Macondo so: 2
so they: 2
would not: 80
was therefore: 3
that did: 12
for it: 17
it could: 10
only to: 21
the past.: 10
To the: 4
the swamps: 2
covered with: 24
an eternal: 6
vast universe: 2
universe of: 4
great swamp: 3
which according: 4
according to: 20
what the: 13
said had: 3
had no: 36
The great: 2
swamp in: 2
the west: 2
mingled with: 4
of water: 5
where there: 11
there were: 22
the head: 11
head and: 12
a woman: 26
of sailors: 2
the charm: 2
charm of: 2
along that: 2
for six: 3
months before: 4
before they: 18
they reached: 2
reached the: 15
the strip: 2
strip of: 2
of land: 3
over which: 4
the mail: 6
Arcadio Buendía’s: 12
the only: 88
along the: 35
So he: 5
he handed: 4
handed out: 2
tools and: 3
hunting weapons: 2
men who: 13
been with: 2
with him: 23
him during: 2
the founding: 9
founding of: 5
of Macondo.: 8
Macondo. He: 6
instruments and: 3
he undertook: 2
undertook the: 6
During the: 26
first days: 5
days they: 2
they did: 22
not come: 11
come across: 2
They went: 4
went down: 2
the place: 13
place where: 14
years before: 12
found the: 23
and from: 12
from there: 5
there they: 3
they went: 16
the woods: 2
At the: 21
the end: 35
first week: 2
week they: 2
they killed: 3
a deer: 3
but they: 17
they agreed: 2
agreed to: 2
to eat: 27
half of: 7
of it: 12
it and: 15
salt the: 2
rest for: 2
the days: 19
days that: 9
With that: 2
that precaution: 2
they tried: 2
to postpone: 3
postpone the: 2
the necessity: 3
necessity of: 4
of having: 7
for more: 10
than ten: 3
not see: 15
the sun: 21
again. The: 2
and damp: 2
thicker and: 2
the cries: 5
cries of: 4
the birds: 10
birds and: 3
the uproar: 3
became more: 4
more and: 16
remote and: 3
The men: 2
men on: 2
overwhelmed by: 4
by their: 6
their most: 2
most ancient: 2
memories in: 3
in that: 29
that paradise: 2
paradise of: 6
dampness and: 2
going back: 4
as their: 4
their boots: 3
sank into: 6
and their: 15
lilies and: 2
and golden: 3
For a: 8
a week: 10
without speaking: 3
went ahead: 2
through a: 11
a universe: 2
of grief: 2
only by: 8
of luminous: 2
luminous insects: 2
They could: 5
not return: 5
return because: 2
because the: 31
they were: 134
as they: 38
went along: 6
along would: 2
almost seemed: 2
to grow: 9
before their: 2
“It’s all: 3
all right: 4
right ”: 4
” José: 16
Buendía would: 4
would say.: 3
say. “The: 2
main thing: 2
thing is: 3
is not: 3
he kept: 17
kept on: 19
toward the: 21
the invisible: 20
to get: 53
get out: 6
out of: 122
enchanted region.: 2
region. It: 2
but the: 48
the darkness: 14
was becoming: 9
impregnated with: 4
and clear: 2
crossing they: 2
hung up: 2
their hammocks: 3
and slept: 2
time in: 16
two weeks.: 3
When they: 10
they woke: 3
woke up: 17
the sky: 8
surrounded by: 7
ferns and: 4
palm trees: 2
the silent: 7
it had: 46
hanging from: 3
from its: 2
the dirty: 4
its sails: 2
the midst: 23
midst of: 23
adorned with: 2
armor of: 2
of petrified: 2
soft moss: 2
surface of: 4
to occupy: 3
its own: 2
one of: 59
of solitude: 9
solitude and: 7
and oblivion: 2
protected from: 2
of time: 11
time and: 29
the habits: 2
habits of: 3
where the: 42
with careful: 2
was nothing: 11
nothing but: 19
but a: 18
of flowers.: 2
The discovery: 3
the galleon: 2
indication of: 5
the proximity: 2
proximity of: 2
drive. He: 2
He considered: 2
considered it: 2
it a: 4
a trick: 5
trick of: 5
without finding: 3
it at: 5
sacrifices and: 2
suffering and: 3
have found: 2
found it: 7
a sudden: 7
looking for: 29
if it: 22
across his: 4
his path: 2
Many years: 7
years later: 15
later Colonel: 2
when it: 16
was already: 21
already a: 4
a regular: 2
part of: 17
the ship: 2
found was: 3
a field: 5
field of: 4
Only then: 8
the story: 12
had not: 96
product of: 2
his father’s: 8
did he: 13
how the: 10
to that: 18
Buendía did: 15
himself with: 14
with that: 15
that when: 27
dirty sea: 2
the risks: 3
damn it!”: 2
it!” he: 3
he shouted.: 8
water on: 4
on all: 2
The idea: 2
inspired by: 5
the arbitrary: 2
his return: 12
it in: 26
the difficulties: 4
difficulties of: 4
of communication: 2
himself for: 3
the absolute: 3
“We’re going: 3
going to: 76
to rot: 2
receiving the: 2
over for: 2
months in: 5
room he: 5
he used: 3
used as: 5
as his: 11
his laboratory: 2
brought him: 21
the plan: 3
plan to: 4
to move: 9
a better: 7
But that: 6
time Úrsula: 2
had anticipated: 2
anticipated his: 3
With the: 11
the secret: 11
secret and: 2
and implacable: 3
the women: 11
who were: 40
were already: 5
preparing for: 2
not know: 25
at what: 4
what moment: 2
because of: 65
his plan: 4
had become: 25
a web: 2
web of: 3
until it: 15
it turned: 2
but an: 10
Úrsula watched: 2
watched him: 2
him with: 47
attention and: 3
for him: 33
him on: 7
the morning: 32
morning when: 11
when she: 92
she found: 15
found him: 16
the back: 13
about his: 19
his plans: 4
he placed: 3
placed his: 2
their original: 2
original boxes.: 2
She let: 6
the boxes: 3
boxes and: 3
put his: 12
his initials: 3
initials on: 2
on them: 7
an inked: 2
inked brush: 2
now that: 3
he knew: 13
had heard: 2
heard him: 6
him say: 2
so in: 3
back him: 2
him up: 12
Only when: 7
he began: 15
began to: 74
down the: 16
the door: 71
door of: 17
did Úrsula: 3
ask him: 4
him what: 5
was doing: 6
doing and: 2
he answered: 7
a certain: 25
we’ll leave: 2
Úrsula did: 10
not become: 2
“We will: 2
will not: 3
not leave: 7
said. “We: 3
stay here: 4
here because: 3
because we: 2
we have: 2
have had: 7
a son: 9
“We have: 7
not had: 7
a death: 2
death ”: 2
he said.: 51
“A person: 4
does not: 2
not belong: 2
belong to: 3
a place: 3
there is: 2
dead under: 2
replied with: 2
a soft: 4
“If I: 5
I have: 7
to die: 18
of you: 2
you to: 7
to stay: 14
here I: 2
I will: 3
that his: 53
his wife’s: 8
will was: 2
He tried: 3
her with: 25
fantasy with: 2
the promise: 4
promise of: 4
a prodigious: 2
world where: 3
where all: 4
had to: 63
to do: 47
do was: 6
the ground: 11
ground and: 2
would bear: 2
of instruments: 2
were sold: 2
But Úrsula: 4
Úrsula was: 37
was insensible: 3
insensible to: 5
of going: 3
going around: 4
around thinking: 2
thinking about: 26
about your: 2
should be: 6
worrying about: 3
she replied.: 2
“Look at: 6
the state: 5
just like: 6
donkeys.” José: 2
Buendía took: 5
took his: 5
He looked: 7
looked out: 3
out the: 44
window and: 8
and saw: 12
saw the: 38
the barefoot: 2
children in: 7
the impression: 14
impression that: 17
that only: 6
only at: 2
that instant: 5
had they: 3
begun to: 15
to exist: 2
by Úrsula’s: 2
of him: 9
him then: 3
him from: 19
from his: 28
own time: 2
and carried: 6
carried him: 5
through an: 6
region of: 2
his memory.: 2
While Úrsula: 2
Úrsula continued: 2
house which: 4
was safe: 3
now from: 2
from being: 4
life he: 7
stood there: 2
there with: 4
an absorbed: 2
absorbed look: 2
contemplating the: 2
until his: 6
his eyes: 28
eyes became: 2
became moist: 2
back of: 10
his hand: 22
a deep: 7
sigh of: 3
“All right: 2
said. “Tell: 2
to come: 19
help me: 3
the things: 13
Arcadio the: 2
the older: 2
children was: 4
a square: 2
hair and: 14
Although he: 12
impulse for: 2
for growth: 2
growth and: 2
evident that: 4
he lacked: 2
born during: 2
the difficult: 3
crossing of: 5
before the: 33
Macondo and: 14
his parents: 2
gave thanks: 2
thanks to: 4
to heaven: 4
when they: 58
Aureliano the: 3
first human: 3
human being: 8
being to: 3
be born: 6
born in: 4
Macondo would: 3
six years: 2
years old: 5
silent and: 6
and withdrawn.: 2
his mother’s: 6
mother’s womb: 2
and had: 60
been born: 14
born with: 5
eyes open.: 3
cutting the: 2
the umbilical: 2
umbilical cord: 3
he moved: 2
his head: 26
side to: 3
things in: 6
examining the: 2
the people: 20
people with: 6
indifferent to: 10
to those: 10
who came: 14
close to: 10
to look: 12
look at: 16
at him: 17
him he: 10
kept his: 4
his attention: 8
concentrated on: 3
the palm: 4
which looked: 4
looked as: 3
it were: 8
were about: 2
about to: 14
the tremendous: 4
pressure of: 3
the rain.: 11
not remember: 5
remember the: 7
the intensity: 3
intensity of: 3
that look: 2
again until: 3
until one: 5
one day: 6
day when: 10
when little: 2
little Aureliano: 7
Aureliano at: 2
the age: 14
age of: 10
of three: 5
the kitchen: 35
the moment: 17
moment she: 6
she was: 174
was taking: 6
taking a: 4
of boiling: 3
boiling soup: 2
the stove: 4
and putting: 2
putting it: 2
the table.: 4
The child: 3
said from: 2
the doorway: 4
“It’s going: 2
pot was: 2
